aajo	gülünc	Nan
púpò	əksinə	None
púpo	həddindən artıq çox	Nan
pò	qatlanmaq	Nan
pòwe	atalar sözləri	Nan
pípẹ́	uzun	None
pípèsè	təmin	None
pípa	qırğın	Nan
péé	ki	None
péré	yalnız	None
pé	ki	None
pèsè	təmin olunur	Nan
quran	quran	None
pèlúpèlú	həmçinin	None
pèhìndà	sperma	Nan
pè	çağırdı	Nan
pátáporongodo	tamamilə	None
pásíà	zirzəmi	Nan
pàápàá	xüsusilə	None
pààlà	bir sərhəd	Nan
pàràkòyí	dərhal	None
pàmò	xüsusi olaraq	Nan
px|kùránì	px | ləpəsi	Nan
pupa	qırmızı	None
príncipe	príncipe	Nan
pèlu	ilə birlikdə	Nan
providence	təminat	None
ra	almaq	None
rajya	ümid	None
rome	xrom	Nan
roma	roma	None
roko	mob	Nan
rokirika	gəzən	Nan
rogbodiyan	iğtişaş	Nan
roboto	səthlər	Nan
robinson	robinson	Nan
ro	düşün	Nan
rnas	rnas	Nan
rnarna	rnarna	Nan
rna	rna	Nan
race	irqi	None
rn	rn	Nan
riresile	yazıcı	Nan
rinle	yeni	None
right|thumb|px|aworan	sağ | baş barmaq | px | şəkil	Nan
richard	zəngin	None
research	tədqiqat	None
rere	yaxşı	None
repetejulo	ən həssas	Nan
repeats	təkrarlayır	Nan
reggae	reggae	Nan
rank	rütbə	Nan
ramadan	ramazan	None
riro	təxəyyül	Nan
ronald	ronald	Nan
proton	proton	Nan
produced	istehsal olunur	Nan
palauan	palav	Nan
padá	pod	Nan
paapaa	xüsusilə	None
paa	söndür	Nan
opolo	çoxu	None
ofò	sabahınız xeyir	Nan
oyé	dünya	None
ose	ose	Nan
opolo	çoxu	None
omonìyàn	insan	None
olorun	allah	None
panaˈma	panaˈma	Nan
odun	illik	None
olórun	allah	None
okùnrín	gülüş	None
ojó	yağışlıdır	Nan
odún	il	None
oúnjẹ	yemək	None
owojagidijagan	terrorçular	Nan
oun	o	None
otutu	çoxu	None
otherwise	başqa cür	Nan
oseluarailu	mülki	None
oscar	oskar	Nan
olósìn	dindar	None
protokolu	protokolu	None
panyanan	the_space	Nan
parapọ̀	qarışıq	None
press	mətbuat	None
portuguese	portuqalca	Nan
portonovo	portonovo	Nan
population	əhali	None
polaroid	polaroid	Nan
polandi	cilalamaq	Nan
pojulo	ən yüksək	Nan
po	po	Nan
plánẹ́tì	santexnika	Nan
platos	platoslar	Nan
piposi	çox	None
papa	papa	None
pipolongo	reklam	None
pinu	qərarlı	Nan
pinsoto	pinoto	Nan
pinsi	azalma	Nan
phillipines	filipinlər	Nan
pelu	inci	Nan
petu	petu	Nan
periferi	periferi	Nan
penisula	penisula	Nan
penh	penh	Nan
pele	cazibədar	Nan
paripari	son	None
pipo	çox	None
rorùn	asan	None
rossii	rossii	Nan
rural	kənd	None
sìbẹ̀	hələ	None
séyìn	geri	None
séyìn	arxa	None
sénégal	sperma	Nan
ségun	ağlamaq	Nan
sèle	oğurlamaq	Nan
são	yenisini	Nan
sáààrin	arasında	None
sáàpàdé	sponsorluq	Nan
sápadè	bu gün	Nan
sàì	yaxşı	None
sìni	karides	Nan
sàngó	banda	Nan
sàmì	işarə	None
sàbúrí	hər şeydən əvvəl	Nan
symmetry	simmetriya	Nan
swahili	suahilicə	Nan
suny	günəşli	None
sun	günəş	None
sugbọ́n	rasional	Nan
sugbo	lakin yox	Nan
suez	suez	Nan
structures	strukturları	None
stella	stella	Nan
sàn	daha yaxşı	Nan
spectacular	möhtəşəm	None
síbèsíbè	buna baxmayaraq	Nan
sílẹ̀	salmaq	None
tabora	qarşısını almaq	Nan
tabili	masa	Nan
tabi	və ya	Nan
sísè	tərcümə	None
sísa	s .ía	Nan
sááju	bir dəqiqə çəkin	Nan
sisé	çalışmaq	Nan
sepò	nəhayət	None
se	onlar edir	Nan
sùgbón	əksinə	None
síse	quruluşu	None
síbú	yerə	None
si	əlbətdə	Nan
sùgbón	əksinə	None
sóko	bitki	None
sójà	əsgər	None
sòrò	beyin yumaq	Nan
síí	burada	None
síwájú	irəli	None
síwon	onları	None
síta	kənarda	None
síso	yenə də	Nan
síso	yenə də	Nan
síse	işləmək	None
sọ	deyin	Nan
so	belə ki	Nan
sopin	son	None
soon	tezliklə	None
say	deyin	Nan
santa	santa	Nan
samioro	mövcuddur	None
sambia	gənclik	None
salàyé	həyat	None
salem	salem	Nan
sakyas	sakyas	Nan
sakyamuni	növbəti	None
saheli	rahatlıq	Nan
safta	sıralamaq	Nan
safiwe	müqayisə	None
sb	sb	Nan
saffana	safir	Nan
saarland	döşəmədə	Nan
saaree	üstündür	None
saarc	çıxarın	Nan
rẹ	onun	None
ròyìn	bildirildi	Nan
rìn	gəzmək	Nan
ré	c	None
république	république	Nan
ránmú	narahat	None
ráhàn	ortaya çıxdı	Nan
ryan	ryan	Nan
safari	safari	Nan
schwarz	şvarts	Nan
sea	dəniz	None
seat	oturacaq	Nan
solomon	solomon	Nan
sohun	bəli	Nan
so	sevgi	None
slovo	slovo	Nan
sisupo	çoxaltmaq	Nan
sisupapoerekusu	tüpürmək	Nan
sisopo	əlaqələndirir	None
sisodagba	böyümək	Nan
sise	yemək	None
sioux	sioux	Nan
sinsin	din	None
sinai	günah	None
silè	düşür	None
sile	arxada	None
sihamoni	quruluşu	None
sibesibe	hələ	None
sharon	şəron	Nan
sewadi	axtarış	None
seville	sevil	None
sense	mənada	None
senegal	senegal	Nan
semudaju	əlbəttə	None
semolara	astma	Nan
seidamo	aydın	None
segbese	ola bilər	Nan
orúko	sahə	None
taino	dino	Nan
orísìírísi	fərqli növlər	Nan
orísiirísi	müxtəlif	None
nombamewa	çoxalmaq	Nan
nobel	nobel	None
nnaji	əmi	Nan
nkàn	xərçəng	Nan
nkan	şey	None
niyi	bax budur	Nan
niye	yetər	Nan
niyato	fərqləndirmək	None
niwaju	qabaqda	None
nitosi	yaxınlıqda	Nan
nitoripe	çünki	None
nombáméjì	ilk iki	Nan
nitoriidieyi	buna görə	Nan
nilè	burada	None
nijẹr	nike	Nan
nigbà	sonra	None
nigbakan	bəzən	None
nibere	erkən	None
nibe	orada	None
ngubengcuka	ngubengcuka	Nan
ngbero	planlaşdırılır	Nan
nevis	nevis	Nan
neptune	neptun	Nan
nefimu	nefim	Nan
nisinyi	i̇ndi	Nan
nebraska	nebraska	Nan
novo	novo	Nan
nse	dizayn	None
nínlá	əla	None
nílẹ̀	yerdə	None
nílùú	şəhərdə	None
nílè	aşağıda	None
nígbàtí	nə vaxt	Nan
nífẹ̀ẹ́	sevmək	Nan
níbè	orada	None
níbè	orada	None
ní	var	None
nìyí	bu odur	Nan
nìnú	üzr istəyirəm	Nan
nri	yemək	None
nì	dağ	None
náwo	xərc	Nan
nàìjíríà	nigeriyada	Nan
nwa	bala	None
numeri	uyuşma	Nan
nukleotidipupo	nukleotid	Nan
nukleotidi	nukleotid	Nan
nu	təmiz	None
ntoka	nöqtə	None
nsowikipedia	obowikipedia	Nan
nsolaboraro	təhlükəsizlik	None
nso	yaxınlığında	None
náà	də	None
nínu	şans	None
ncnc	ncnc	Nan
nawojulo	çaşqın	Nan
munispal	munispal	Nan
mulẹ̀	qurmaq	None
mughal	həcmi	None
mtwara	yenidən seçin	Nan
mtn	mtn	Nan
mozilla	mozilla	None
mozambique	mozambik	Nan
morogoro	motorlu	Nan
morgan	morqan	Nan
monrovia	monroviya	Nan
mombasa	mombasa	Nan
muungano	muungano	Nan
mokanlelogbon	otuz iki	Nan
mohandas	mohandas	Nan
minority	azlıq	Nan
minnesota	minnesota	Nan
mimuwa	yapışmaq	Nan
mimoy	mimoy	Nan
miiràn	rahatlaşdırmaq	Nan
micronesia	mikronesiya	Nan
michelle	mişar	Nan
mexico	meksika	None
mewar	mewar	Nan
meucci	meucci	Nan
mokaleladota	yığcam	Nan
nawó	pulunu al	Nan
májèmú	fikirləşmə	Nan
méjèèjì	hər ikisi	Nan
nato	nato	None
nathaniel	nataniel	Nan
namibia	gəlmək	None
mẹ́talọ́kan	üçlük	Nan
mẹ́ta	üç	None
mẹ́rkúríù	siçan	None
mẹ́fà	altı	None
múlẹ̀	möhkəm tut	Nan
mó	m	Nan
móra	müalicə	None
mókólà	yapışqan	Nan
mère	rəsm	None
mò	bilik	None
míìrán	başqa	None
míràn	başqa	None
mímọ́	müqəddəs	None
ménu	fikirləşirsən	Nan
méwàá	on	None
métèètà	dülgər	Nan
méta	üç	None
mérìnlélógójì	qırx dörd	Nan
mérìndínlógún	on altı	Nan
méte	beş	None
mérindíláàdóta	əlli beş	Nan
mííràn	başqa	None
níní	varı olmaq, malik olmaq	Nan
nípà	ən azı	Nan
nítorípé	çünki	None
onítumò	tərcüməçi	Nan
oníná	atəş	None
onílẹ̀	aşağı	None
oníkólóbó	təhqiramiz	Nan
onígbàgbó	qoca	None
onka	kalkulyator	Nan
onje	pəhriz	Nan
oniyijulo	zəhmli	Nan
oniyewumeji	ikili	None
onisowo	tacir	None
onisayensi	texnoloq	Nan
onítèbọmi	vəftiz	Nan
onipin	rasional	Nan
onilile	ev sahibləri	Nan
onilanaibagbepo	prezervativ	Nan
onigunfenfe	passiv	Nan
onigbowo	sponsor	Nan
onigbeja	konstruktiv	Nan
onibugbe	icarəçi	Nan
onialjebra	onialjebra	Nan
omiadalu	sel	None
omi	su	None
olùkọ́	müəllim	None
olùkó	təlimatçı	Nan
oninawo	borcalan	Nan
olùkópa	töhfə verən	Nan
onítòhùn	mühasib	Nan
oníyanjù	cizgi	None
orílẹ́	axşam	None
orílẹ̀	millət	None
orílèèdè	millət	None
oríkì	şeir	None
oríilẹ̀	məqalə	None
oríilè	milli	None
oruko	isim	None
orudnun	illik	None
oritameta	ortasında	None
orisa	mənşəyi	None
orisun	mənbə	None
oníwòsàn	şəfa verən	Nan
orisirisi	müxtəliflik	Nan
orileominira	isti	None
orilejoba	hökumət	Nan
orileedeajoba	imperializm	Nan
orileede	millət	None
oriki	şərq	None
oriire	təbrik edirəm	Nan
ori	baş	None
opposite	əksinə	None
opec	opec	Nan
ootọ́	doğru	None
ooni	timsah	Nan
orinìyìn	bir mahnı	Nan
olùdarí	bir lider	Nan
olùbátan	bu əlaqə	Nan
olóṣèlú	siyasətçi	None
ojùkòsì	yağıntı	None
ojuse	məsuliyyət	None
ojuoorun	qürub	Nan
ojukokoro	tamahkarlıq	Nan
ojoru	isti	None
ojojumo	gündəlik	None
ojo	oxşamaq	Nan
ogunlogo	izdiham	Nan
ogun	müharibə	None
ogbè	bölgə	None
ofin	qanun	None
ojùkòtúu	yağıntı	None
ododo	salehlik	Nan
obere	kiçik	None
obairanderan	əmiuşağı	Nan
oba	obama	None
nso	tezliklə	None
nǹkan	şey	None
níyanjú	müsbət	None
níwájú	qabaqda	None
nítòótọ́	həqiqətən	None
nítòótó	tam olaraq	Nan
nítòsí	yaxınlıqda	Nan
nítumò	məna	None
obínibí	nəzakət	Nan
ojúlùmọ̀	tanışlıqlar	Nan
ojútáyé	özlülük	Nan
ojúìwé	səhifə	None
olóyè	hökmdar	None
olódùmarè	uca	None
olympus	olimpiya	None
oluwakiri	kəşfiyyat	None
olusoju	gözətçi	None
oluparapo	birləşmə	None
olumojuto	acgöz	Nan
olukowe	müəllif	None
olukoitan	təlimatçı	Nan
oludase	istehsalçı	Nan
oluda	yaradıcısı	None
oloye	dahi	None
oloselukan	salam	None
olora	yağ	None
olopon	təkəbbürlü	Nan
ololugbe	itirən	Nan
olokunkun	qulaqlıq	Nan
olojukanna	dərhal	None
olohun	sahibləri	None
olodiajodojuko	bir-birinə	Nan
okunrin	kişi	None
okunkun	qaranlıq	None
oko	sahə	None
okhotsk	oxotsk	Nan
okeere	xarici	None
orísìí	müxtəliflik	Nan
tainos	tainos	Nan
takuntakun	məhdudiyyətlər	Nan
talaka	kasıb	None
ìràwọ̀	ulduzlar	None
ìrànàna	kömək	None
ìrànlọ́wọ́	kömək	None
ìpínrò	bəndlər	Nan
ìpìnlè	başlanğıc	None
ìpìlẹ̀núkléù	şifrələmə	Nan
ìpolongo	reklam	None
ìnáwó	xərcləmə	Nan
ìnagije	qələbə	None
