$	$	None
meirion	midnimo	None
meirw	kuwa dhintay	Nan
meistr	sayid	None
meistrir	sayid	None
mekong	mekong	Nan
melan	melan	Nan
melanesia	melanesia	Nan
melanitta	melanitta	Nan
melanocorypha	melanocorypha	Nan
melayu	melayu	Nan
melbourne	melborne	Nan
meles	meles	Nan
mellt	hillaac	Nan
melyn	jaalle ah	Nan
melys	macaan	None
meirch	fardo	None
men	ragga	None
meinweoedd	unugyada	None
meintiau	cabirro	Nan
meddylfryd	maskaxda	None
meddyliol	maskaxda	None
medi	sebtember	Nan
media	warbaahinta	None
medium	dhexdhexaad ah	Nan
medr	mitir	Nan
medru	awoodaan	Nan
medrus	xirfad leh	Nan
megis	sida	None
mehefin	juun	None
mehmed	mehmed	Nan
meibion	wiilasha	None
meic	tus	Nan
meicrosgôp	microscope	Nan
meini	dhagxaanta	Nan
meinwe	unug	None
menai	menai	Nan
mendel	mendel	Nan
mendeleev	mendeleev	Nan
metal	bir	None
metalau	biraha	Nan
metamorffig	metamorphic	Nan
metel	bir	None
metelau	biraha	Nan
metelig	macdan	Nan
meteoroleg	meteorology	Nan
methan	methane	Nan
methodd	way ku fashilantay	Nan
methu	ku fashilmay	Nan
metr	mitir	Nan
metrig	metrik	Nan
mewn	gudaha	None
mewnforio	soo dejin	Nan
mewnfudiad	socdaalka	None
metabolig	dheef-shiid kiimikaad	Nan
mesurir	waxaa lagu cabiraa	Nan
mesurau	tallaabooyin	Nan
mesur	cabir	None
menevia	menevia	Nan
menna	maan	None
menter	ganacsi	None
menywod	haweenka	None
merch	gabar	None
merched	haweenka	None
mercher	arbacada	Nan
meddygon	dhakhaatiirta	Nan
merci	naxariis	None
meredith	meredith	Nan
merfyn	xad	None
merganser	merganser	Nan
merlyn	pony	Nan
mers	maarso	None
merthyr	shahiid	Nan
mesopotamia	mesopotamia	None
mercia	mercia	Nan
meddygol	caafimaad	None
meddyginiaeth	daawo	None
meddygaeth	daawo	None
mastiau	masts	Nan
maswedd	xasuuq	None
maswr	fuulid	Nan
mater	arrinta	Nan
material	wax	None
materion	arrimaha	None
materol	wax	None
math	wanaagsan	None
mathafarn	xisaabta	None
mathau	noocyada	None
mathemateg	xisaabta	None
mathemategol	xisaab	None
mathemategydd	xisaabiye	Nan
mathew	mathew	Nan
mathias	mathias	Nan
massif	massif	Nan
massachusetts	duco	None
masood	masood	Nan
masnachwyr	ganacsatada	None
mars	mars	Nan
marseille	marshal	Nan
marsh	ciil	None
marshall	marshall	Nan
martes	martes	Nan
martin	martin	Nan
marw	dhintay	None
mathonwy	wanaagsan	None
marwnad	elegy	Nan
marwolaethau	dhimashada	Nan
mary	maryo	Nan
mas	haddii	None
