$	$	None
मालिश	duugista	Nan
मालिनी	malini	Nan
मालिकों	milkiilayaasha	Nan
मालिकाना	lahaansho	Nan
मालिक	milkiilaha	None
माला	garland	Nan
मालदीवज	maldives	Nan
मालदीव	maldives	Nan
माल	alaabada	Nan
मार्शल	marshal	Nan
मार्मिक	taabashada	Nan
मार्टिन	martin	Nan
मार्चअप्रैल	maarso abriil	Nan
मार्च	maarso	None
मार्गों	wadooyinka	None
मार्गशीर्ष	madaxa wadada	Nan
मार्गरेट	margaret	Nan
मार	dil	None
मारना	dilaya	Nan
मारने	si loo dilo	Nan
मारवाड़	marwar	Nan
मारा	garaacid	Nan
मारी	mari	None
मालूम	lagu yaqaan	Nan
मारीच	marich	Nan
मार्क	calaamadee	Nan
मार्क्स	marx	None
मार्क्सवाद	marxism	Nan
मार्क्सवादी	marxist	Nan
मार्ग	dariiqa	Nan
मार्गदर्शन	hanuun	None
मारे	dilay	None
माले	lab	None
मासिक	bil kasta	Nan
मास्टर	sayid	None
मिथ्या	been	None
मिनट	daqiiqad	Nan
मिनर्वा	minerva	Nan
मिनी	yar	None
मिर्च	chilli	Nan
मिर्ज़ा	mirza	Nan
मिथुन	gemini	Nan
मिर्जा	mirza	Nan
मिलकर	wada	None
मिलती	hel	Nan
मिलते	is arag danbo	Nan
मिलन	milan	Nan
मिलना	hel	Nan
मिलने	la kulanka	Nan
मिल	hel	Nan
माया	maya	Nan
मिथिला	mithila	Nan
मित्रों	asxaabta	Nan
माह	bisha	None
माहवारी	caadada	Nan
माहौल	jawiga	None
मिंग	ming	Nan
मिट	xareed	Nan
मिटटी	ciid	None
मिथक	khayaal	Nan
मिटा	tirtir	Nan
मिट्टी	ciid	None
मिठाई	macaan	None
मिडिया	warbaahinta	None
मित्तल	mittal	Nan
मित्र	saaxiib	None
मित्रता	saaxiibtinimo	None
मिटाने	tirtir	Nan
मिला	la kulmay	Nan
मायनों	si isdaba joog ah	Nan
मामूली	yar	None
माध्यमिक	secondary	None
माधुर्य	melody	Nan
माधुरी	madhuri	Nan
माधव	madhav	Nan
मादा	dhedig	Nan
मादक	daroogada	Nan
माथे	horta	Nan
माथुर	soo koobay	Nan
मात्रा	tirada	None
मात्र	kaliya	None
मातृभाषा	toungue hooyadeed	Nan
मातृ	hooyo	None
मातापिता	hooyo-aabe	Nan
माता	hooyo	None
मातरम्	mataram	Nan
मात	waxqabadka	Nan
माचिस	matchbox	Nan
मांगी	wax la weydiiyay	Nan
मांगे	mange	None
मांस	hilib	Nan
मांसपेशियों	muruqyada	Nan
मांसाहारी	khudrad-la’aan	Nan
माइक्रो	micro	Nan
माध्यमों	dhexdhexaad	None
माइक्रोप्रोसेसर	microprocessor	Nan
माई	mai	Nan
माउंट	buurta	None
माउण्ट	buurta	None
माउन्टबेटन	mountbatten	Nan
माउस	jiirka	Nan
माघ	magh	Nan
माइक्रोसॉफ्ट	microsoft	None
मान	qiimayaasha	Nan
मानकीकरण	dejinta	Nan
मानकीकृत	heersare	None
मानी	waa la aqbalay	Nan
माने	mane	Nan
मानो	sida	None
मान्य	ansax ah	Nan
मान्यता	aqoonsi	None
मान्यताओं	caqiidada	None
माना	ogolaaday	None
माप	cabbirka	Nan
मापने	cabbirid	Nan
मापा	cabiray	Nan
मामला	arrinta	Nan
मामले	kiisaska	Nan
मामलों	arimaha	None
मामा	adeer hooyo	Nan
मापन	cabbiraad	Nan
मायने	micnaha	None
मानसून	monsoon	Nan
मानसिंह	nin singh	Nan
मानकों	heerarka	Nan
मानचित्र	khariidad	Nan
मानचित्रावली	khariidad	Nan
मानचित्रों	khariidadaha	Nan
मानता	ogolaaday	None
मानती	ogolow	Nan
मानसिक	maskaxda	None
मानते	tixgeli	Nan
मानना	aqbal	Nan
मानव	aadanaha	None
मानवता	dadnimo	Nan
मानवीय	aadanaha	None
मानस	maskaxda	None
मानसरोवर	mansrovar	Nan
मानद	mudane	None
मिलाकर	ku darista	Nan
मिलान	ciyaarta	None
मिलाने	rux	Nan
मूल्यों	qiyamka	Nan
मूल्यांकन	qiimayn	None
मूल्यवान	qiimayn	None
मूल्य	qiimaha	None
मूलभूत	aasaasiga ah	Nan
मूलतः	asal ahaan	Nan
मूलत	asal ahaan	Nan
मूल	asalka ah	Nan
मूर्धन्य	holly	Nan
मूर्तियों	iddoomiyo	Nan
मूर्तियां	farshaxanka	None
मूर्तियाँ	taallada	Nan
मूर्तिकला	sawirka	None
मूर्त	la taaban karo	Nan
मूर	moore	Nan
मूत्रमार्ग	urethra	Nan
मूत्र	kaadi	Nan
मुरादाबाद	moradabad	Nan
मुलाकात	kulan	None
मुलायम	jilicsan	None
मुश्किल	dhibaato	None
मुसलमान	muslim	None
मुसलमानों	muslimiinta	None
मूसा	muuse	None
मुहब्बत	jacayl	None
मुहाने	afka	None
मुहावरा	idiom	Nan
मुहावरे	halyeeyo	Nan
मुहावरों	calaamadaha	Nan
मुहूर्त	bilow wanaagsan	Nan
मूक	aamusnaan	Nan
मुहम्मद	muxammad	Nan
मृग	qulqul	Nan
मृगी	deer	Nan
मृत	kuwa dhintay	Nan
मेन	ugu weyn	Nan
मेनन	menon	Nan
मेमोरियल	xusuus	None
मेमोरी	xusuusta	Nan
मेयर	duqa magaalada	Nan
मेरा	aniga	None
मेट्रो	mitir	Nan
मेरूशीर्ष	meerkuriga	Nan
मेल	isu eg	Nan
मेला	cadaalad ah	Nan
मेले	cadaalad ah	Nan
मेवाड	mewad	Nan
मेसोपोटामिया	mesopotamia	None
मेहता	mehta	Nan
मेरे	aniga	None
मुम्बई	mumbai	Nan
मेटास्टेसिस	daawada	None
मेजर	weyn	None
मृतक	kuwa dhintay	Nan
मृतोत्थान	soobixinta	Nan
मृत्यु	geerida	None
मृदा	ciid	None
मे	aniga	None
मेँ	aniga	None
मेटाबोलिज्म	dheef-shiid kiimikaad	Nan
में	gudaha	None
मेगस्थनीज	megasthenes	Nan
मेघ	daruuro	None
मेघदूत	meghdoot	Nan
मेच	ciyaarta	None
मेजबान	martida loo yahay	Nan
मेजबानी	marti galinta	Nan
मेक्सिको	meksiko	None
मुमताज	mootaz	Nan
मुफ्त	lacag la’aan	Nan
मुनियों	daanyeero	Nan
मीथेन	methane	Nan
मीन	pisces	Nan
मीना	meena	Nan
मीनाक्षी	meenakshi	Nan
मीनार	taleex	None
मीराबाई	meera bai	Nan
मीडिया	warbaahinta	None
मील	mi	None
मुंडा	xiiray	None
मुंबई	mumbai	Nan
